Name,Use Case,Type,Location,Quantity,Price,Code,Barcode
Balsamo de Peru,"Wound healing, respiratory issues",Loose Leaf Herb,"Panel C, D",,,,
Cuachalate,"Gastritis, ulcers, gastrointestinal support",Loose Leaf Herb,"Panel C, D",,,,
Copalquin,"Fever, malaria, digestive issues",Loose Leaf Herb,"Panel C, D",,,,
Riñosan,Kidney and urinary tract support,Loose Leaf Herb,"Panel C, D",,,,
Senos De Mujer,"Female reproductive health, hormonal balance, fertility",Loose Leaf Herb,"Panel C, D",,,,
Raiz de Malva,"Soothing throat, respiratory issues, digestive aid",Loose Leaf Herb,"Panel C, D",,,,
Te de Assam,"Antioxidants, energy, heart health",Loose Leaf Herb,"Panel C, D",,,,
OSHA,"Respiratory support, immune system, sore throat",Loose Leaf Herb,"Panel C, D",,,,
Caña Amarga,"Blood purification, liver support",Loose Leaf Herb,"Panel C, D",,,,
Hierba del Manzo,"Antimicrobial, inflammation, wound healing",Loose Leaf Herb,"Panel C, D",,,,
Hierba del Marrano,"Digestive issues, stomach ache",Loose Leaf Herb,"Panel C, D",,,,
Palo Azul,"Kidney health, urinary tract infections",Loose Leaf Herb,"Panel C, D",,,,
Valeriana,"Sleep aid, anxiety, relaxation",Loose Leaf Herb,"Panel C, D",,,,
Pelos de Elote,"Diuretic, kidney stones, urinary health",Loose Leaf Herb,"Panel C, D",,,,
Cancerina,"Wound healing, ulcers, anti-inflammatory",Loose Leaf Herb,"Panel C, D",,,,
Garañona,"Menstrual cramps, reproductive health, fertility",Loose Leaf Herb,"Panel C, D",,,,
Manzanilla Silvestre,"Digestion, calming, anti-inflammatory",Loose Leaf Herb,"Panel C, D",,,,
Salvia Silvestre,"Digestive health, sore throat, memory",Loose Leaf Herb,"Panel C, D",12,$3.99,,
Espigol,"Digestive health, laxative",Loose Leaf Herb,"Panel C, D",,,,
Eucalipto ,"Respiratory issues, cough, congestion",Loose Leaf Herb,"Panel C, D",,,,
Laurel,"Digestion, respiratory health, anti-inflammatory",Loose Leaf Herb,"Panel C, D",,,,
Hierba de Vibora,"Snakebites, anti-inflammatory",Loose Leaf Herb,"Panel C, D",,,,
Manzanilla de Hojas de Monte,"Calming, digestion, sleep",Loose Leaf Herb,"Panel C, D",,,,
Salvia,"Memory, sore throat, menopause symptoms",Loose Leaf Herb,"Panel C, D",,,,
Diente de Leon ,"Liver health, diuretic, digestion",Loose Leaf Herb,"Panel C, D",,,,
Hojas de Higurea,"Digestive health, respiratory issues",Loose Leaf Herb,"Panel C, D",,,,
Palo de Bispero,"Kidney stones, urinary health",Loose Leaf Herb,"Panel C, D",,,,
Hoja de Olivo,"Blood pressure, immune support",Loose Leaf Herb,"Panel C, D",,,,
Pulmonaria,"Respiratory health, coughs",Loose Leaf Herb,"Panel C, D",,,,
Gobernadora,"Kidney stones, gallstones, urinary health",Loose Leaf Herb,"Panel C, D",,,,
COTA,"Digestive issues, stomach pain",Loose Leaf Herb,"Panel C, D",,,,
Vervena,"Nervous system support, relaxation, digestion",Loose Leaf Herb,"Panel C, D",,,,
Muicle (jacobina spicigera),"Blood purification, anemia",Loose Leaf Herb,"Panel C, D",,,,
Pirul,"Anti-inflammatory, wound healing",Loose Leaf Herb,"Panel C, D",,,,
Te Chalteca,Digestive support,Loose Leaf Herb,"Panel C, D",,,,
Te Verde,"Antioxidants, metabolism, energy",Loose Leaf Herb,"Panel C, D",,,,
Hoja de Mango,"Blood sugar control, respiratory health",Loose Leaf Herb,"Panel C, D",,,,
Herb de Agrito,"Digestive issues, fever",Loose Leaf Herb,"Panel C, D",,,,
Hinojo,"Digestion, bloating, colic",Loose Leaf Herb,"Panel C, D",,,,
ENCINO( Quercus Glabrescens),"Astringent, diarrhea, gum health",Loose Leaf Herb,"Panel C, D",,,,
Yierba de la vibora,"Anti-inflammatory, wound healing",Loose Leaf Herb,"Panel C, D",,,,
Flor de Sauco,"Immune support, cold and flu",Loose Leaf Herb,"Panel C, D",,,,
Marrubio,"Cough, respiratory issues, digestion",Loose Leaf Herb,"Panel C, D",,,,
Cola de Caballo (shave grass),"Diuretic, bone health, hair and nails",Loose Leaf Herb,"Panel C, D",,,,
Ortiga (nettle),"Allergies, joint pain, urinary health",Loose Leaf Herb,"Panel C, D",,,,
Borraja (borrage),"Anti-inflammatory, respiratory health",Loose Leaf Herb,"Panel C, D",,,,
Hoja de Guanabana (soursop leaf),"Immune support, relaxation",Loose Leaf Herb,"Panel C, D",,,,
Ajo Chino,"Cardiovascular health, immune support",Loose Leaf Herb,"Panel C, D",,,,
Contra Hierba,"Fever, infections, digestive issues",Loose Leaf Herb,"Panel C, D",,,,
En Esos Dias- Regulador Hormonal,"Hormonal balance, menstrual support, fertility",Loose Leaf Herb,"Panel C, D",,,,
Diabetes Control Te,Blood sugar management,Loose Leaf Herb,"Panel C, D",,,,
Gripa y Tos Te,"Cold, flu, and cough relief",Loose Leaf Herb,"Panel C, D",,,,
Circulacion Sanate Healthy Heart and Circulation,"Heart health, blood circulation",Loose Leaf Herb,"Panel C, D",,,,
Raiz de Loto,"Respiratory health, digestion",Loose Leaf Herb,"Panel C, D",,,,
Hipazote de Zorrillo,"Parasites, digestive issues",Loose Leaf Herb,"Panel C, D",,,,
Hierba del Sapo,"Cholesterol, gallstones",Loose Leaf Herb,"Panel C, D",,,,
La Inmortal,"Respiratory health, immune support",Loose Leaf Herb,"Panel C, D",,,,
Uña de Gato,"Immune support, anti-inflammatory",Loose Leaf Herb,"Panel C, D",,,,
Parasito- Parasites Blend,"Anti-parasitic, digestive cleanse",Loose Leaf Herb,"Panel C, D",,,,
Anamu,"Immune support, anti-inflammatory",Loose Leaf Herb,"Panel C, D",,,,
Arnica Para Tomar,"Anti-inflammatory, pain relief",Loose Leaf Herb,"Panel C, D",,,,
Guayabo,"Diarrhea, digestive health",Loose Leaf Herb,"Panel C, D",,,,
Wereke Mikania Guaco,"Blood sugar management, skin conditions",Loose Leaf Herb,"Panel C, D",,,,
Doradilla (Helathus Canadens),Kidney and urinary health,Loose Leaf Herb,"Panel C, D",,,,
Abango (respiratory blend),"Respiratory support, cough relief",Loose Leaf Herb,"Panel C, D",,,,
Chicura,"Digestive health, anti-inflammatory",Loose Leaf Herb,"Panel C, D",,,,
Hoja de Nogal (Walnut Leaves),"Astringent, skin conditions",Loose Leaf Herb,"Panel C, D",,,,
Golondrina (Euphorbia Maculata),"Eye health, skin conditions",Loose Leaf Herb,"Panel C, D",,,,
Hierba del Golpe (Sweet Broomwort),"Bruises, muscle pain, anti-inflammatory",Loose Leaf Herb,"Panel C, D",,,,
Ajenjible (Ginger),"Nausea, digestion, anti-inflammatory",Loose Leaf Herb,"Panel C, D",,,,
Pression- Sana (Pressure Blend),Blood pressure management,Loose Leaf Herb,"Panel C, D",,,,
Chile de Arbol,"Circulation, pain relief",Loose Leaf Herb,"Panel C, D",,,,
Flor Buganvilia,"Cough, respiratory health",Loose Leaf Herb,"Panel C, D",,,,
Flor de Jamaica,"Blood pressure, antioxidants, diuretic",Loose Leaf Herb,"Panel C, D",,,,
Nerviosan (Nervous System Blend),"Nervous system support, anxiety, sleep",Loose Leaf Herb,"Panel C, D",,,,
Canela,"Blood sugar control, digestion, circulation",Loose Leaf Herb,"Panel C, D",,,,
Yerba del Manzo,"Antimicrobial, inflammation",Loose Leaf Herb,"Panel C, D",,,,
OSHA,"Respiratory support, immune system",Loose Leaf Herb,"Panel C, D",,,,
Gastrisan (Gastrik-Aid Tonic),"Gastritis, digestive support",Loose Leaf Herb,"Panel C, D",,,,
Oregano (Mexican Oregano),"Antimicrobial, respiratory health, digestion",Loose Leaf Herb,"Panel C, D",,,,
Anis,"Digestion, bloating, cough",Loose Leaf Herb,"Panel C, D",,,,
Yerba Buena (spearmint),"Digestion, nausea, relaxation",Loose Leaf Herb,"Panel C, D",,,,
"Te Divina (Persimmon leaves, holy thistle, malva leaves, marsh, blessed thistle, papaya, myrrh, chamomille, ginger, cranberry, siberian chaga, ganoderma lucidum, soluble fiber.) (Hojas de caqui, cardo santo, hojas de malva, malvavisco, cardo bendito, papaya, mirra, manzanilla, Jengibre, Arandano rojo, chaga siberano, ganoderma lucidum, fibra soluble)","Detoxification, digestion, weight management",Loose Leaf Herb,"Panel C, D",,,,
